iso18026 code,league code,name,a,invf,epsg code
AA,AIRY,Airy 1830,6377563.396,299.3249646,7001
AM,MODIFIED_AIRY,Airy Modified 1849,6377340.189,299.3249646,7002
AN,AUSTRALIAN_NATIONAL,Australian National,6378160,298.25,7003
AP,,APL 4.5 (1968),6378144,298.23,
AT,,Average Terrestrial System 1977,6378135,298.257,7041
AW,,Airy (War Office),6377542.178,299.325,
BM,,Bessel (Modified),6377492.018,299.1528,7005
BN,BESSEL_1841_NAMBIA,Bessel 1841 (Nambia),6377483.865,299.1528128,7006
BR,BESSEL_1841,Bessel 1841,6377397.155,299.1528128,7004
CA,,Clarke 1858,6378235.6,294.2606768,7007
CB,,Clarke 1858 (Modified),6378293.645,294.26,
CC,CLARKE_1866,Clarke 1866,6378206.4,294.9786982,7008
CD,CLARKE_1880,Clarke 1880 (RGS),6378249.145,293.465,7012
CE,,Clarke 1880 (Arc/Cape),6378249.145,293.4663077,7013
CF,,Clarke 1880 (Palestine),6378300.782,293.4663077,
CG,,Clarke 1880 (IGN),6378249.2,293.4660208,7011
CI,,Clarke 1880 (Syria),6378247.842,293.4663517,
CJ,,Clarke 1880 (Fiji),6378301,293.465,
DA,,Danish (1876) or Andrae,6377104.43,300,7051
DB,,Delambre 1810,6376985.228,308.64,
DC,,Delambre (Carte de France),6376985,308.64,
EA,EVEREST,Everest 1830 (India/1937 Adjustment),6377276.345,300.8017,7015
EB,,Everest (1966 Definition/Sabah & Sarawak),6377298.556,300.8017,7016
EC,,Everest (India 1956),6377301.243,300.8017,
ED,,Everest (W. Malaysia 1969),6377295.664,300.8017,7056
EE,MODIFIED_EVEREST,Everest Modified (W. Malasia and Singapore 1948),6377304.063,300.8017,7018
EF,,Everest (Pakistan),6377309.613,300.8017,
FA,MODIFIED_FISCHER_1960,Modified Fischer 1960 (South Asia),6378155,298.3,
FC,FISCHER_1968,Fischer 1968,6378150,298.3,
FM,FISCHER_1960_MERCURY,Fischer 1960 (Mercury),6378166,298.3,
GE,,Germaine (Djibouti),6378284,294,
HA,,Hayford 1909,6378388,296.959263,
HE,HELMERT_1906,Helmert 1906,6378200,298.3,7020
HO,HOUGH,Hough 1960,6378270,297,7053
IA,,IAG Best Estimate 1975,6378140,298.257,7049
ID,,Indonesian National (1974),6378160,298.247,7021
IN,INTERNATIONAL,International 1924,6378388,297,7022
KA,KRASSOVSKY,Krassovsky 1940,6378245,298.3,7024
KB,,Krayenhoff 1827,6376950.4,309.65,
NW,,NWL-8E/9D,6378145,298.25,7025
PM,,Plessis Modified/Plessis 1817,6376523,308.64,7027
PR,,Plessis Reconstituted,6376523.994,308.624807,
RE,GRS_1967,Geodetic Reference System 1967,6378160,298.2471674,7036
,,GRS 1967 Modified,6378160,298.25,7050
RF,GRS_1980,Geodetic Reference System 1980,6378137,298.2572221,7019
SA,SOUTH_AMERICAN_1969,South American 1969,6378160,298.25,
SG,,Soviet Geodetic System 1985,6378136,298.257,
SN,,Soviet Geodetic System 1990,6378136,298.2578393,
ST,,Struve 1860,6378298.3,294.73,7028
SV,,Svanberg,6376797,304.2506,
WA,,Walbeck 1819 (Planheft 1942),6376895,302.7821565,
WB,,Walbeck 1819 (AMS 1963),6376896,302.78,
WC,WGS66,WGS 66,6378145,298.25,
WD,WGS72,WGS 72,6378135,298.26,7043
WE,WGS84,WGS 84,6378136,298.2572236,7030
WO,,War Office 1924 (McCaw),6378300,296,7029
WS,WGS60,WGS 60,6378165,298.3,
,,GEM 10C,6378137,298.2572236,7031
,,OSU86F,6378136.2,298.2572236,7032
,,OSU91A,6378136.3,298.2572236,7033
,,PZ-90,6378136,298.2578393,7054
